Material_Name,Chemical_Composition,Material_Class,Film_Thickness,Substrate,Material_Type,Superconductor_Type,Superconducting_Transition_Temperature,Pressure,Crystal_Structure,Lattice_Structure,Space_Group,"Lattice_Constant(a)","Lattice_Constant(b)","Lattice_Constant(c)",Lower_Critical_Field,Upper_Critical_Field,Experimental,DOI
CeRhIn5,Ce1Rh1In5,Bulk,,,AFM,,NSC,Ambient,Tetragonal,HoCoGa5-type,,,,,,,FALSE,10.1103/PhysRevB.76.052401
CeRu₂,Ce1Ru2,,,,SC,heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.66.134503
CeCu2Si2,Ce20.25Cu39.875Si39.875,Bulk,,,SC,Heavy-fermion,0.7 K,0 GPa,,,,4.0985 Å,,9.9177 Å,,,TRUE,10.1016/j.jmmm.2003.11.103
CeCu2Si2,Ce20.25Cu40.25Si39.5,Bulk,,,SC,Heavy-fermion,0.6 K,0 GPa,,,,4.0973 Å,,9.9053 Å,,,TRUE,10.1016/j.jmmm.2003.11.103
CeCu₂Si₂ (Sample 13),Ce20.7Cu41.3Si38,Bulk,,,SC,,0.24 K,,Tetragonal,ThCr₂Si₂ type,,4.1132 Å,4.1132 Å,9.891 Å,,,True,10.1103/PhysRevB.27.3092
CeCu₂Si₂ (Sample 8),Ce20Cu39.25Si40.75,Bulk,,,SC,,0.22 K,,Tetragonal,ThCr₂Si₂ type,,4.1016 Å,4.1016 Å,9.924 Å,,,True,10.1103/PhysRevB.27.3092
CeCu₂Si₂ (Sample 9),Ce20Cu39.75Si40.25,Bulk,,,SC,,0.25 K,,Tetragonal,ThCr₂Si₂ type,,4.1010 Å,4.1010 Å,9.924 Å,,,True,10.1103/PhysRevB.27.3092
CeCu₂Si₂ (Sample 10),Ce20Cu40.25Si39.75,Bulk,,,SC,,0.66 K,,Tetragonal,ThCr₂Si₂ type,,4.1017 Å,4.1017 Å,9.923 Å,,,True,10.1103/PhysRevB.27.3092
CeCu₂Si₂ (Sample 11),Ce20Cu40.75Si39.25,Bulk,,,SC,,0.64 K,,Tetragonal,ThCr₂Si₂ type,,4.1010 Å,4.1010 Å,9.918 Å,,,True,10.1103/PhysRevB.27.3092
CeCu₂Si₂ (Sample 4),Ce20Cu40Si40,Bulk,,,SC,,0.54 K,,Tetragonal,ThCr₂Si₂ type,,4.1004 Å,4.1004 Å,9.925 Å,,,True,10.1103/PhysRevB.27.3092
CeCu₂Si₂ (Sample 12),Ce20Cu42.5Si37.5,Bulk,,,SC,,0.23 K,,Tetragonal,ThCr₂Si₂ type,,4.1106 Å,4.1106 Å,9.895 Å,,,True,10.1103/PhysRevB.27.3092
CeCu₂Si₂ (Sample 16),Ce22.8Cu38.6Si38.6,Bulk,,,SC,,0.45 K,,Tetragonal,ThCr₂Si₂ type,,4.1062 Å,4.1062 Å,9.911 Å,,,True,10.1103/PhysRevB.27.3092
Ce2C3,Ce2C3,Bulk,,,SC,,10-12 K,,Cubic,sesquicarbide,I-43d (No. 220),8.405,8.405,8.405,,,TRUE,10.1103/PhysRevB.104.045111
Ce2CoIn8,Ce2CoIn8,,,,SC,Heavy-fermion,,,,,,,,,,,FALSE,10.1103/PhysRevLett.104.059702
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Heavy-fermion,,,,,,,,,,,FALSE,10.1103/PhysRevB.70.035113
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Heavy-fermion,0.4 K,,Tetragonal,Layered,,,,,,,FALSE,10.1103/PhysRevB.97.165120
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,,,ambient pressure,,,,,,,,,FALSE,10.1103/PhysRevLett.103.027003
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,High-Tc,0.4 K,Ambient,,,,,,,,,TRUE,10.1016/j.physb.2007.10.026
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Type-II,0.47 K,Ambient,,,,,,,,"1.1 T for H||a, 0.9 T for H||c",TRUE,10.1016/j.jmmm.2003.11.052
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Unconventional,0.4 K,Ambient,,,,,,,,,FALSE,10.1016/j.jmmm.2006.10.073
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Heavy-Fermion,0.4 K,Ambient,,,,,,,,,FALSE,10.1016/j.jallcom.2015.05.143
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Heavy Fermion,0.4 K,0 GPa,Ho2CoGa8-type tetragonal,,,,,,,,TRUE,10.1016/j.physb.2006.01.043
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Unconventional,0.4 K,Ambient,Ho2CoGa8-type,Tetragonal,,,,,,,TRUE,10.1016/j.physb.2005.01.029
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Heavy-fermion,0.4 K,Ambient,Ho2CoGa8-type,Tetragonal,,,,,,,TRUE,10.1016/j.physc.2010.01.059
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Heavy-fermion,0.4 K,Ambient,Tetragonal,Ho2CoGa8-type,,0.4643 nm,0.4643 nm,1.226 nm,,,TRUE,10.1016/j.physc.2011.08.003
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,Heavy-fermion,0.4 K,Ambient,,,,,,,,,FALSE,10.1016/j.ssc.2009.12.007
Ce2CoIn8,Ce2CoIn8,Bulk,,,SC,High-Tc,0.4 K,,,,,,,,,,FALSE,10.1016/j.physb.2007.10.030
Ce2Ir3Si5,Ce2Ir3Si5,Bulk,,,NSC,,,,Tetragonal,U2Co3Si5-type,,9.960,11.629,5.879,,,TRUE,10.1103/PhysRevB.70.064403
Ce2IrIn8,Ce2IrIn8,,,,SC,Heavy-fermion,,,,,,,,,,,FALSE,10.1103/PhysRevLett.104.059702
Ce2IrIn8,Ce2IrIn8,Bulk,,,SC,Heavy-fermion,,,,,,,,,,,FALSE,10.1103/PhysRevB.70.035113
Ce2IrIn8,Ce2IrIn8,Bulk,,,NSC,,,,Tetragonal,,,,,,,,TRUE,10.1103/PhysRevB.110.075161
Ce2IrIn8,Ce2IrIn8,Bulk,,,NSC,,,,Tetragonal,Layered,,,,,,,FALSE,10.1103/PhysRevB.97.165120
Ce2IrIn8,Ce2IrIn8,Bulk,,,NSC,,,,Tetragonal,,P4/mmm,,,,,,FALSE,10.1103/PhysRevB.100.165133
Ce2Ni3Ge2,Ce2Ni3Ge2,,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.79.172507
Ce2Ni3Ge5,Ce2Ni3Ge5,Bulk,,,SC,Heavy-Fermion,0.26 K,3.9 GPa,Orthorhombic,Ibam,,0.98085 nm,1.18378 nm,0.59602 nm,,,FALSE,10.1016/j.jallcom.2013.01.147
Ce2Ni3Ge5,Ce2Ni3Ge5,Bulk,,,SC,Heavy Fermion,0.26 K,3.6 GPa,,,,,,,,,TRUE,10.1016/j.physb.2006.01.063
Ce2PdIn8,Ce2PdIn8,Bulk,100 μm,,SC,Heavy-fermion,0.70 K,,,,,,,,,,TRUE,10.1103/PhysRevLett.104.059702
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy-fermion/Unconventional/Type-II,0.64 K,ambient pressure,,,,,,,,2.3 T,TRUE,10.1103/PhysRevB.86.094508
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,heavy-fermion,0.64 K,,,,,,,,,,FALSE,10.1103/PhysRevB.102.165124
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy-fermion,0.7 K,,Tetragonal,Layered,,,,,,,FALSE,10.1103/PhysRevB.97.165120
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Unconventional/Heavy-fermion,0.7 K,,,Layered,,,,,,,TRUE,10.1103/PhysRevB.84.115110
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy-fermion/Type-II/d-wave,,ambient pressure,Tetragonal,quasi-2D,,,,,,,TRUE,10.1103/PhysRevB.83.224518
Ce2PdIn8,Ce2PdIn8,,,,SC,Heavy fermion,,,,,,,,,,,FALSE,10.1103/PhysRevB.93.104503
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy Fermion,0.7–0.45 K,ambient pressure,Tetragonal,quasi-two-dimensional,,4.693 Å,4.693 Å,,,,TRUE,10.1103/PhysRevLett.104.059701
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Type-II,0.68 K,ambient pressure,Tetragonal,Ho2CoGa8-type,,,,,,4.8 T,TRUE,10.1103/PhysRevLett.103.027003
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy-fermion,0.7 K,,Ho2CoGa8-type,Tetragonal,P4/mmm,4.6900,,12.185,,,TRUE,10.1016/j.jssc.2012.12.037
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy-Fermion,0.68 K,Ambient,Tetragonal,,,,,,,2.3 T,TRUE,10.1016/j.jallcom.2015.05.143
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy-Fermion,0.69 K,Ambient,Ho2CoGa8-type,Tetragonal,P4/mmm,0.4695 nm,0.4695 nm,1.220 nm,,,TRUE,10.1016/j.intermet.2010.03.017
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,Heavy-fermion,0.7 K,Ambient,Primitive tetragonal,Tetragonal,P 4 / m m m,,,,,2.5 T,TRUE,10.1016/j.ssc.2009.12.007
Ce2PdIn8,Ce2PdIn8,Bulk,,,SC,High-Tc,0.55-0.7 K,Ambient,Ho2CoGa8-type,Tetragonal,P4/mmm,,,,,,TRUE,10.1016/j.physb.2015.04.025
Ce2PtIn8,Ce2PtIn8,Bulk,,,NSC,,,,Tetragonal,Layered,,4.6893 Å,4.6893 Å,12.1490 Å,,,TRUE,10.1103/PhysRevB.97.165120
Ce2PtIn8,Ce2PtIn8,Bulk,,,NSC,,,0 GPa,,,,,,,,,FALSE,10.1103/PhysRevB.101.081103
Ce2Rh0.5Ir0.5In8,Ce2Rh0.5Ir0.5In8,Bulk,,,SC,Heavy-fermion,,ambient,Tetragonal,,,,,,,,FALSE,10.1103/PhysRevB.110.205105
Ce2Rh0.5Ir0.5In8,Ce2Rh0.5Ir0.5In8,Bulk,,,SC,Unconventional/Heavy Fermion,,ambient,Tetragonal,,,,,,,,TRUE,10.1103/PhysRevB.110.075161
Ce2Rh0.5Ir0.5In8,Ce2Rh0.5Ir0.5In8,Bulk,,,SC,Heavy-Fermion,0.6 K,0 kbar,Ho2CoGa8 type,,,,,,,,TRUE,10.1016/j.physb.2006.01.401
Ce2Rh0.75Ir0.25In8,Ce2Rh0.75Ir0.25In8,Bulk,,,SC,Type-II,1.0 K,9 kbar,,,,,,,,,TRUE,10.1016/j.physb.2007.10.030
Ce2Rh3Si5,Ce2Rh3Si5,Bulk,,,NSC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.70.064403
Ce2RhIn7.45Ga0.55,Ce2RhIn7.45Ga0.55,Bulk,,,NSC,,,ambient,Tetragonal,,P4/mmm,4.664,4.664,12.21,,,TRUE,10.1103/PhysRevB.110.205105
Ce2RhIn7.64Ga0.36,Ce2RhIn7.64Ga0.36,Bulk,,,SC,Heavy-fermion,1.55 K,1.55 GPa,Tetragonal,,P4/mmm,4.664,4.664,12.21,,,TRUE,10.1103/PhysRevB.110.205105
Ce2RhIn7.64Ga0.36,Ce2RhIn7.64Ga0.36,Bulk,,,NSC,,,ambient,Tetragonal,,P4/mmm,4.664,4.664,12.21,,,TRUE,10.1103/PhysRevB.110.205105
Ce2RhIn8,Ce2RhIn8,,,,SC,Heavy-fermion,,,,,,,,,,,FALSE,10.1103/PhysRevLett.104.059702
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy-fermion,0.9 K,1.36 GPa,Tetragonal,,P4/mmm,4.667,4.667,12.24,,,TRUE,10.1103/PhysRevB.110.205105
Ce2RhIn8,Ce2RhIn8,Bulk,,,NSC,,,ambient,Tetragonal,,P4/mmm,4.667,4.667,12.24,,,TRUE,10.1103/PhysRevB.110.205105
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy-fermion,,,,,,,,,,,FALSE,10.1103/PhysRevB.70.035113
Ce2RhIn8,Ce2RhIn8,Bulk,,,NSC,,,,Tetragonal,,,,,,,,TRUE,10.1103/PhysRevB.110.075161
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy-fermion,2 K,0.4 GPa,Tetragonal,Layered,,,,,,,FALSE,10.1103/PhysRevB.97.165120
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy-fermion/Type-II,>0.4 K,,Tetragonal,,,,,,,,FALSE,10.1103/PhysRevB.81.180507
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,,,,,,,,,,,,FALSE,10.1103/PhysRevLett.103.027003
Ce2RhIn8,Ce2RhIn8,Bulk,,,NSC,,,0 GPa,,,,,,,,,FALSE,10.1103/PhysRevB.101.081103
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Unconventional,2.8,0,Tetragonal,Quasi-2D,,4.665,4.665,12.244,,,TRUE,10.1016/S0304-8853(00)00602-8
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Unconventional,0.5 K,Ambient,Ho2CoGa8-type tetragonal,Tetragonal,,4.4665 Å,4.4665 Å,12.244 Å,,,TRUE,10.1016/j.jmmm.2006.10.073
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy-Fermion,2 K,2.3 GPa,,,,,,,,,FALSE,10.1016/j.jallcom.2015.05.143
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy-Fermion,1.1 K,1.63 GPa,Tetragonal,Layered,,,,,,5.4 T,TRUE,10.1016/S0921-4526(02)01987-7
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy Fermion,1.4 K,2.0 GPa,Ho2CoGa8-type tetragonal,,,,,,,,TRUE,10.1016/j.physb.2006.01.043
Ce2RhIn8,Ce2RhIn8,Bulk,,,SC,Heavy-fermion,2 K,2.3 GPa,,,,,,,,,FALSE,10.1016/j.ssc.2009.12.007
Ce3.05Ru4Sn12.95,Ce3.05Ru4Sn12.95,Bulk,,,NSC,,,,Cubic,Yb3Rh4Sn13-type,Pm-3n,9.7326,9.7326,9.7326,,,TRUE,10.1103/PhysRevMaterials.6.043401
Ce3.12Ru4Sn12.88,Ce3.12Ru4Sn12.88,Bulk,,,NSC,,,,Cubic,Yb3Rh4Sn13-type,Pm-3n,9.7302,9.7302,9.7302,,,TRUE,10.1103/PhysRevMaterials.6.043401
Ce3.18Ru4Sn12.82,Ce3.18Ru4Sn12.82,Bulk,,,NSC,,,,Cubic,Yb3Rh4Sn13-type,Pm-3n,9.7299,9.7299,9.7299,,,TRUE,10.1103/PhysRevMaterials.6.043401
Ce3.23Ru4Sn12.77,Ce3.23Ru4Sn12.77,Bulk,,,NSC,,,,Cubic,Yb3Rh4Sn13-type,Pm-3n,9.7277,9.7277,9.7277,,,TRUE,10.1103/PhysRevMaterials.6.043401
Ce3.34Ru4Sn12.66,Ce3.34Ru4Sn12.66,Bulk,,,NSC,,,,Cubic,Yb3Rh4Sn13-type,Pm-3n,9.7272,9.7272,9.7272,,,TRUE,10.1103/PhysRevMaterials.6.043401
Ce35Ru58Si7,Ce35Ru58Si7,Bulk,,,SC,Type-II,2.9 K,,Cubic,,Fd-3m,7.509,7.509,7.509,,8.35 T,TRUE,10.1016/j.jallcom.2007.11.017
Ce₃Au₃Sb₄,Ce3Au3Sb4,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevB.58.15534
Ce3B2C6,Ce3B2C6,Bulk,,,NSC,,,,Orthorhombic,,,,,,,,TRUE,Handbook of SC
Ce₃Bi₄Pt₃,Ce3Bi4Pt3,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevB.58.15534
CexC60,Ce3C60,Bulk,,,SC,,22 K,,fcc,orthorhombic,,,,,,,TRUE,10.1016/S0038-1098(02)00291-0
Ce3Co4Sn13,Ce3Co4Sn13,Bulk,,,NSC,,,,Cubic,Yb3M4Sn13-type,Pm-3n,9.6038 (293 K); 9.5738 (120 K); 9.5672 (12 K),9.6038 (293 K); 9.5738 (120 K); 9.5672 (12 K),9.6038 (293 K); 9.5738 (120 K); 9.5672 (12 K),,,TRUE,10.1103/PhysRevB.86.205113
Ce3Ni2O6.75,Ce3Ni2O6.75,Bulk,,,NSC,,NSC,20 GPa,Tetragonal,Ruddlesden-Popper bilayered perovskite with oxygen vacancies,,,,,,,FALSE,10.1103/PhysRevB.109.205156
Ce3PdIn11,Ce3PdIn11,Bulk,,,SC,heavy-fermion,0.42 K,ambient,,,,,,,,,FALSE,10.1103/PhysRevB.102.165124
Ce3Pt23Si11,Ce3Pt23Si11,Bulk,,,SC,Heavy fermion,0.46 K,,,,,,,,,,FALSE,10.1103/PhysRevB.77.134517
Ce3Pt3Bi4,Ce3Pt3Bi4,Bulk,,,NSC,,,,Cubic,Y3Au3Sb4-type,,,,,,,FALSE,10.1103/PhysRevResearch.4.L032004
Ce₃Pt₃Sb₃,Ce3Pt3Sb3,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevB.58.15534
Ce3PtIn11,Ce3PtIn11,Bulk,,,SC,heavy-fermion,0.32 K,ambient,,,,,,,,,TRUE,10.1103/PhysRevB.102.165124
Ce3PtIn11,Ce3PtIn11,Bulk,,,SC,Heavy-fermion,"0.32 K, 0.7 K","ambient pressure, 1.3 GPa",,,,,,,,,FALSE,10.1103/PhysRevB.97.165120
Ce3PtIn11,Ce3PtIn11,Bulk,,,SC,Heavy-fermion/Type-II,0.35 K,0 GPa,Tetragonal,Layered,P4/mmm,4.6874,4.6874,16.8422,,,TRUE,10.1103/PhysRevB.101.081103
Ce3PtIn11,Ce3PtIn11,Bulk,,,SC,Heavy-fermion,0.33 K,,Tetragonal,,P4/mmm,4.6934 Å,4.6934 Å,16.8306 Å,,,TRUE,10.1016/j.physb.2020.412724
Ce3Rh4Sn13,Ce3Rh4Sn13,Bulk,,,NSC,,,,Cubic,Yb3Rh4Sn13-type,Pm-3n,,,,,,TRUE,10.1103/PhysRevB.86.205113
Ce3Rh4Sn13,Ce3Rh4Sn13,Bulk,,,NSC,,NSC,Ambient,Cubic (distorted at low T),skutterudite-related,I-43d (low T),,,,,,TRUE,10.1103/PhysRevB.93.245126
Ce3Ru4Sn13,Ce3Ru4Sn13,Bulk,,,NSC,,,,Cubic,Yb3Rh4Sn13-type,Pm-3n,,,,,,FALSE,10.1103/PhysRevMaterials.6.043401
CeAg2Si2,CeAg2Si2,Bulk,,,SC,Heavy-fermion,1.25 K,16 GPa,Tetragonal,ThCr2Si2-type,,,,,,,FALSE,10.1103/PhysRevB.98.195102
CeAg2Si2,CeAg2Si2,Bulk,,,SC,Heavy Fermion,1.25 K,16 GPa,Tetragonal,ThCr2Si2,I4/mmm,,,,,5.75 T,TRUE,10.1016/j.physb.2017.09.120
CeAl3,CeAl3,Bulk,,,SC,heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.33.4526
Cerium aluminum,CeAl3,Bulk,,,SC,heavy-fermion,,,,,,,,,,,False,10.1103/PhysRevLett.61.1253
CeAl3,CeAl3,,,,SC,Heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.46.8675
CeAl3,CeAl3,Bulk,,,SC,Heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.34.1918
Cerium Aluminum,CeAl3,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevB.31.228
CeAl3,CeAl3,Bulk,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.42.1033
CeAl3,CeAl3,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevLett.53.1497
CeAl3,CeAl3,Bulk,,,SC,Heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.34.8107
CeAl3,CeAl3,Bulk,,,NSC,,<0.01 K,,,,,,,,,,,10.1103/PhysRevB.41.1894
CeAl3,CeAl3,Bulk,,,SC,Heavy-fermion,0.1-1 K,,,,,,,,,,,10.1103/PhysRevB.30.1549
CeAl3,CeAl3,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevB.30.1249
CeAl3,CeAl3,Bulk,,,NSC,,,,,,,,,,,,False,10.1103/PhysRevB.32.499
CeAl₃,CeAl3,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevLett.53.1829
CeAl₃,CeAl3,Bulk,,,NSC,Heavy-fermion,NSC - neither magnetic nor superconducting,,Hexagonal,DO19,,6.545 Å,6.545 Å,4.609 Å,,,,10.1103/PhysRevB.32.3010
CeAl3,CeAl3,Bulk,,,SC,Heavy Fermion,,,,,,,,,,,,10.1103/PhysRevLett.78.3729
CeAl3,CeAl3,,,,SC,Heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.48.10395
CeAl3,CeAl3,Bulk,,,SC,Heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.57.15191
CeAl3,CeAl3,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevB.39.4726
CeAl3,CeAl3,Bulk,,,HFM,Heavy-fermion,,,,,,,,,,,,10.1103/PhysRevLett.101.147004
CeAl3,CeAl3,Bulk,,,NSC,,,,,,,,,,,,FALSE,10.1103/PhysRevB.77.212502
CeAu2Si2,CeAu2Si2,Bulk,,,SC,Heavy-fermion/unconventional,2.5 K,21.2 GPa,,,,,,,,,TRUE,10.1103/PhysRevB.91.094515
CeAu2Si2,CeAu2Si2,Bulk,,,SC,Heavy-fermion/Type-II,2.5 K,11.8-26.5 GPa,Tetragonal,ThCr2Si2-type,,,,,,9.2 T (at 22.3 GPa),TRUE,10.1103/PhysRevX.4.031055
CeAu2Si2,CeAu2Si2,Bulk,,,SC,Heavy Fermion,2.5 K,,,,,,,,,,FALSE,10.1016/j.physb.2017.09.120
CeB6,CeB6,Bulk,,,SC,,,,,,,,,,,,,10.1103/PhysRevB.48.16564
CeB6,CeB6,Bulk,,,SC,Heavy-Fermion,,,Cubic,hexaboride,,,,,,,,10.1103/PhysRevB.58.14896
CeB6,CeB6,Bulk,,,NSC,,<0.01 K,,,,,,,,,,,10.1103/PhysRevB.41.1894
CeB6,CeB6,single crystal,,,NSC,,,,Cubic,simple cubic,,,,,,,TRUE,10.1103/PhysRevB.94.035114
CeB6,CeB6,Bulk,,,NSC,,NSC,,,,,,,,,,,10.1103/PhysRevB.98.205107
CeBa2Cu3O6+x,CeBa2Cu3O6+x,Bulk,,,NSC,,,,,perovskite,,,,,,,True,10.1103/PhysRevB.36.3895
CeBa2Cu3O6.9,CeBa2Cu3O6.9,Bulk,,,NSC,,,,Orthorhombic,perovskite,,,,,,,,10.1103/PhysRevB.37.2368
CeBa2Cu3O7,CeBa2Cu3O7,Bulk,,,NSC,,,,,,,,,,,,,10.1103/PhysRevB.51.11830
CeBa2Cu3O7-delta,CeBa2Cu3O7-delta,Bulk,,,NSC,High-Tc/cuprate,NSC,,,,,,,,,,TRUE,10.1103/PhysRevB.77.024523
CeBa2Cu4O8,CeBa2Cu4O8,Bulk,,,SC,cuprate,,,tetragonal,,,,,,,,False,10.1103/PhysRevB.50.7184
CeBeH8,CeBeH8,Bulk,,,SC,High-Tc,28 K,13 GPa,Fluorite-type,Cubic,Fm-3m,,,,,,FALSE,10.1016/j.fmre.2022.11.010
CeBH7,CeBH7,Bulk,,,SC,High-Tc/Type-II/NA,18 K,75 GPa,Hexagonal,,P63/mmc,,,,,,FALSE,10.1103/PhysRevB.110.064105
Fm-3m-CeCa3H24,CeCa3H24,Bulk,,,SC,High-Tc,201 K,300 GPa,Fm-3m,Cubic,Fm-3m,6.9131 Å,6.9131 Å,6.9131 Å,,,FALSE,10.1016/j.physb.2023.415545
Cmmm-CeCaH12,CeCaH12,Bulk,,,SC,High-Tc,150 K,150 GPa,Cmmm,Orthorhombic,Cmmm,5.0264 Å,3.6077 Å,5.1625 Å,,,FALSE,10.1016/j.physb.2023.415545
P4/mmm-CeCaH8,CeCaH8,Bulk,,,SC,High-Tc,90 K,150 GPa,P4/mmm,Tetragonal,P4/mmm,2.6948 Å,2.6948 Å,5.4942 Å,,,FALSE,10.1016/j.physb.2023.415545
Cmmm-CeCaH8,CeCaH8,Bulk,,,SC,High-Tc,86 K,150 GPa,Cmmm,Orthorhombic,Cmmm,5.6201 Å,3.7944 Å,3.7570 Å,,,FALSE,10.1016/j.physb.2023.415545
CeCo(In0.925Cd0.075)5,CeCo(In0.925Cd0.075)5,Bulk,,,SC,Heavy-fermion/Type-II,0.7 K,0 GPa,Tetragonal,HoCoGa5-type,P4/mmm,,,,,,TRUE,10.1103/PhysRevB.82.035112
CeCo(In0.95Cd0.05)5,CeCo(In0.95Cd0.05)5,Bulk,,,SC,Heavy-fermion/Type-II,1.2 K,0 GPa,Tetragonal,HoCoGa5-type,P4/mmm,,,,,,TRUE,10.1103/PhysRevB.82.035112
CeCo(In0.95Cd0.05)5,CeCo(In0.95Cd0.05)5,Bulk,,,"SC,AFM",Heavy-fermion,,,,,,,,,,,TRUE,10.1103/PhysRevB.78.184519
CeCo(In0.975Cd0.025)5,CeCo(In0.975Cd0.025)5,Bulk,,,SC,Heavy-fermion/Type-II,1.9 K,0 GPa,Tetragonal,HoCoGa5-type,P4/mmm,,,,,,TRUE,10.1103/PhysRevB.82.035112
CeCo(In0.975Cd0.025)5,CeCo(In0.975Cd0.025)5,Bulk,,,SC,Heavy Fermion,2.1 K,,,,,,,,,,TRUE,10.1016/j.physb.2007.10.054
CeCo(In0.97Cd0.03)5,CeCo(In0.97Cd0.03)5,Bulk,,,SC,Heavy Fermion,2.2 K,,,,,,,,,,TRUE,10.1016/j.physb.2008.11.181
CeCo(In0.987Hg0.013)5,CeCo(In0.987Hg0.013)5,Bulk,,,SC,Type-II,1.4 K,ambient,Tetragonal,,,,,,,,TRUE,10.1103/PhysRevLett.121.037003
CeCo(In0.990Hg0.010)5,CeCo(In0.990Hg0.010)5,Bulk,,,SC,Type-II,,ambient,Tetragonal,,,,,,,,TRUE,10.1103/PhysRevLett.121.037003
CeCo(In0.9Cd0.1)5,CeCo(In0.9Cd0.1)5,Bulk,,,SC,Heavy-fermion/Type-II,0.3 K,0 GPa,Tetragonal,HoCoGa5-type,P4/mmm,,,,,,TRUE,10.1103/PhysRevB.82.035112
CeCo(In0.9Cd0.1)5,CeCo(In0.9Cd0.1)5,Bulk,,,SC,Unconventional,1.2 K,Ambient,,,,,,,,,TRUE,10.1016/j.physb.2007.10.280
CeCo(In0.9Cd0.1)5,CeCo(In0.9Cd0.1)5,Bulk,,,SC,Type-II,1.3 K,,Tetragonal,,,,,,,,TRUE,10.1016/j.physb.2007.10.267
CeCo(In_{1-x}Cd_x)5,CeCo(In_{1-x}Cd_x)5,,,,SC,heavy-fermion,,,,,,,,,,,,10.1103/PhysRevB.90.205113
CeCo0.5Rh0.5In5,CeCo0.5Rh0.5In5,,,,SC,Heavy fermion,,,,,,,,,,,,10.1103/PhysRevB.65.161101
CeCo0.75Ni0.25In5,CeCo0.75Ni0.25In5,Bulk,,,NSC,,NSC,,Tetragonal,HoCoGa5-type,,,,,,,TRUE,10.1103/PhysRevB.99.054506
CeCo0.75Ni0.25In5,CeCo0.75Ni0.25In5,Bulk,,,NSC,Heavy-fermion,NSC,ambient,Tetragonal,HoCoGa5-type,,,,,,0 T,TRUE,10.1103/PhysRevMaterials.8.L081801
CeCo0.85Rh0.15In5,CeCo0.85Rh0.15In5,Bulk,,,SC,Heavy fermion/Unconventional,,,,,,,,,,,TRUE,10.1103/PhysRevB.75.054523
CeCo0.875Ni0.125In5,CeCo0.875Ni0.125In5,Bulk,,,SC,Heavy-fermion,,ambient,Tetragonal,HoCoGa5-type,,,,,,2.6 T,TRUE,10.1103/PhysRevMaterials.8.L081801
